feature,importance
free_lunch,15.520936163093186
race4,15.367101049504146
race3,15.12004606029308
race6,14.993840237345402
abs_percent,6.2964798222343035
tardy_rate,1.635364989517511
fine_arts,1.2954305409895226
race5,1.2493717742819248
regionNorth Metro,0.7634637588098859
ma_graduate,0.7162590777397322
race2,0.6309047197618504
fin_aid,0.577396526121274
regionGreater MN / Out-of-State,0.5454788924175942
regionWest Metro,0.5211765544362397
regionSouth Metro,0.31534694017458403
regionEast Metro,0.2247335296768706
gpa,0.1626215568390486
sports_count,0.1516074198223015
gender1,0.0739340837748618
