term,estimate,std.error,statistic,p.value,conf.low,conf.high
sports_count,1.1637032998976058,0.05230314532167116,2.898629114748187,0.0037479795580636827,1.0504762698363903,1.290885385893586
abs_percent,542.6582903131148,3.3742690987892474,1.866027764203395,0.06203748115895231,0.6104937451632256,423351.13711170276
fin_aid,1.781394574052054,0.3113761826731282,1.8543374806781694,0.06369089309210305,0.9631522286487265,3.2786836214457633
fine_arts,0.2737799654558786,0.7709560196996524,-1.680291103368249,0.0929006911830422,0.04202993622688346,1.0039180802133403
ma_graduate,0.4885765684876723,0.45930279090887244,-1.5594485640341798,0.11889024961325395,0.20227009114818423,1.2421943388679615
regionNorth Metro,2.1456955355346015,0.5622755635159427,1.3578106685552924,0.17452376880387818,0.6684604294612093,6.249780723037129
regionWest Metro,1.6840078114476373,0.5642994492919186,0.9235815400674422,0.3557042286232762,0.5060984971661853,4.809686150562649
tardy_rate,0.19488122871118357,1.893522051618742,-0.8636630284392323,0.3877730291545077,0.0040748906282297125,7.172936148362265
regionSouth Metro,1.3707347914384367,0.5348434920837339,0.5896060152961794,0.5554548179482459,0.4321531611595686,3.665089635555901
gpa,1.1765913324795758,0.2955625834205104,0.5502102294446366,0.5821751881213587,0.667780624098455,2.1376750650059457
regionGreater MN / Out-of-State,0.5795641679856504,1.2948111592639526,-0.4212806543370206,0.6735501550598457,0.021441612708999493,4.888529321545175
regionEast Metro,1.251989053810554,0.6040410348956917,0.37205010370806774,0.7098555452833017,0.3339701612938949,3.76544402813813
gender1,0.9287329103912977,0.30429824299266695,-0.24296585825716857,0.8080318462056096,0.5103378621645883,1.689765751971857
(Intercept),2.0734109703551165e-8,2731.8856248987513,-0.006475924731189005,0.994832995755382,NA,10551761572044205e159
race4,4718969.698433826,2731.8854447662393,0.005625089836378213,0.9955118513351646,1.3311326579332872e-178,NA
race3,3685976.5684716823,2731.885422447384,0.005534656005722103,0.9955840059691196,3.6722859745418426e-179,NA
race6,3248942.8918352476,2731.8854007487303,0.005488458715448323,0.9956208655139263,1.687335813006419e-179,NA
free_lunch,1.816950393762815e-7,3956.180355391094,-0.003923212484977531,0.9968697373594458,NA,Inf
race5,0.2866848430908443,3766.812147148386,-3.31678811014705e-4,0.9997353586023981,1.777038655792306e-15,113025350354798.44
race2,0.5321101725817556,2987.317786831097,-2.1119437729157862e-4,0.9998314912682833,1.1971790448500233e-19,832077004811567900
