Sport_Code,Boys_States_Reporting_2021_22,Girls_States_Reporting_2021_22,Boys_Number_of_Schools_Reporting_2021_22,Boys_Participants_2021_22,Girls_Number_of_Schools_Reporting_2021_22,Girls_Participants_2021_22,Combined_Participants_2021_22,Boys_States_Reporting_2022_23,Girls_States_Reporting_2022_23,Boys_Number_of_Schools_Reporting_2022_23,Boys_Participants_2022_23,Girls_Number_of_Schools_Reporting_2022_23,Girls_Participants_2022_23,Combined_Participants_2022_23,Boys_States_Reporting_2023_24,Girls_States_Reporting_2023_24,Boys_Number_of_Schools_Reporting_2023_24,Boys_Participants_2023_24,Girls_Number_of_Schools_Reporting_2023_24,Girls_Participants_2023_24,Combined_Participants_2023_24,Boys_States_Reporting_2024_25,Girls_States_Reporting_2024_25,Boys_Number_of_Schools_Reporting_2024_25,Boys_Participants_2024_25,Girls_Number_of_Schools_Reporting_2024_25,Girls_Participants_2024_25,Combined_Participants_2024_25
1,51,51,18428,521616,17901,370466,892082,51,51,18369,537438,17881,373366,910804,51,51,18587,536668,18090,367284,903952,51,51,18690,540704,18208,356240,896944
2,51,51,15710,231387,15448,191323,422710,51,51,15867,240201,15551,197630,437831,51,51,15511,239381,15228,192969,432350,51,51,16091,241565,15836,191733,433298
3,51,40,13733,973792,2289,3094,976886,51,39,13670,1028761,2260,3654,1032415,51,40,13788,1031508,2019,4094,1035602,51,41,14269,1029588,2066,4837,1034425
4,51,51,12539,436465,12071,374773,811238,51,51,12484,450455,12100,377838,828293,51,51,12754,467483,12307,383895,851378,51,51,12969,484908,12516,393048,877956
5,51,51,17070,634578,17028,517806,1152384,51,51,17038,682693,16977,553262,1235955,51,51,17274,707581,17267,575481,1283062,51,51,17390,733254,17373,585166,1318420
6,25,51,2682,66487,16532,454153,520640,25,51,3376,77287,16610,470488,547775,29,51,3805,85255,16849,479125,564380,32,51,4303,95972,17027,492799,588771
7,50,49,49544,940727,48709,787645,1728372,51,51,49919,943618,49202,811251,1754869,51,51,50618,940791,50693,813624,1754415,50,51,51406,952406,53364,832414,1784820
8,12,13,609,5040,643,4631,9671,11,11,622,5850,635,5358,11208,11,11,626,5277,634,4718,9995,12,12,605,5029,609,4382,9411
9,26,27,3077,107865,3028,96762,204627,26,27,3086,111108,3164,98014,209122,27,28,3278,115001,3206,101204,216205,28,29,3346,113696,3324,99292,212988
10,7,27,104,1011,1614,16544,17555,8,26,101,999,1656,15832,16831,7,26,65,145,1724,15534,15679,9,27,95,135,1792,15326,15461
